ProductName,ProductStock,ProductDescription,ProductBasePrice,ProductSalePrice,ImageURL,Cat,Image-src,Date
Fractal Design FD-C-POR1X-06 Pop XL Air RGB Black Tempered Glass Clear Tint Steel E-ATX Mid Tower Desktop Chassis,Stock Coming Soon,Stock Coming Soon,"R2,729.00","R2,099.00",https://www.wootware.co.za/fractal-design-fd-c-por1x-06-pop-xl-air-rgb-black-tempered-glass-clear-tint-steel-e-atx-mid-tower-desktop-chassis.html,Chassis,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/p/o/pop_xl_air_rgb_black_tgc_1_left_front-9wfltlhs.jpg,"2015, 12, 25, 0, 0, 0, 0"
Palit GeForce GT 710 Single NEAT7100HD46-2080F 2GB DDR3 64-bit PCI-E 2.0 Desktop Graphics Card,In stock with Wootware,In stock with Wootware,"R1,379.00",R699.00,https://www.wootware.co.za/palit-geforce-gt-710-single-neat7100hd46-2080f-2gb-ddr3-64-bit-pci-e-2-0-desktop-graphics-card.html,GPUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/p/a/palit_gt710_2gb_0.jpg,"2015, 12, 25, 0, 0, 0, 0"
ASUS 90MP02K0-BMUA00  P307 TUF Gaming M4 AIR 16000 DPI Gaming Mouse,In stock with Wootware,In stock with Wootware,R849.00,R599.00,https://www.wootware.co.za/asus-90mp02k0-bmua00-p307-tuf-gaming-m4-air-16000dpi-gaming-mouse.html,Peripherals,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/1/-/1-hwnkvvgs.jpg,"2015, 12, 25, 0, 0, 0, 0"
"Samsung LS24R35AFHMXUE SR24R 23.8"" Full HD(1920x1080) 75Hz 5ms IPS Freesync Desktop Monitor",In stock with Wootware,In stock with Wootware,"R3,299.00","R2,599.00",https://www.wootware.co.za/samsung-ls24r35afhmxue-sr24r-23-8-full-hd-1920x1080-75hz-5ms-ips-freesync-desktop-monitor.html,Monitors,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/s/2/s24r350_001_front_black_gallery001-m4sq2shs.jpg,"2015, 12, 25, 0, 0, 0, 0"
Metallic Gear MG-F120PDRGB_BK Skiron D-RGB 120mm PWM Case Fan,In stock with Wootware,In stock with Wootware,R429.00,R199.00,https://www.wootware.co.za/metallic-gear-mg-f120pdrgb-bk-skiron-d-rgb-120mm-pwm-case-fan.html,Case Fans,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/m/g/mg-skiron-drgb-120-01.jpg,"2015, 12, 25, 0, 0, 0, 0"
Zotac GeForce RTX 4080 Trinity OC ZT-D40810J-10P 16GB GDDR6X 256-bit PCI-E 4.0 Desktop Graphics Card,In stock with Wootware,In stock with Wootware,"R31,299.00","R26,499.00",https://www.wootware.co.za/zotac-geforce-rtx-4080-trinity-oc-zt-d40810j-10p-16gb-gddr6x-256-bit-pci-e-4-0-desktop-graphics-card.html,GPUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/z/t/zt_d40810j_10p_image01-28ezdrhs.jpg,"2015, 12, 25, 0, 0, 0, 0"
Sabrent SB-ROCKET-1TB ROCKET 1TB M.2 (2280) NVMe PCI-E 3.0 Solid State Drive,In stock with Wootware,In stock with Wootware,"R3,279.00","R2,079.00",https://www.wootware.co.za/sabrent-sb-rocket-1tb-rocket-1tb-m-2-2280-nvme-pci-e-3-0-solid-state-drive.html,SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/s/b/sb-rocket-1tb-main-7.jpg,"2015, 12, 25, 0, 0, 0, 0"
XFX Radeon RX 6600 Speedster SWFT 210 Core RX-66XL8LFDQ 8GB GDDR6 128-bit PCI-E 4.0 Desktop Graphics Card,In stock with Wootware,In stock with Wootware,"R8,699.00","R5,699.00",https://www.wootware.co.za/xfx-radeon-rx-6600-speedster-swft210-core-rx-66xl8lfdq-8gb-gddr6-128-bit-pci-e-4-0-desktop-graphics-card.html,GPUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/x/f/xfx-radeon-rx-6600-speedster-swft210-core-rx-66xl8lfdq-8gb-gddr6-graphics-card-1.jpg,"2015, 12, 25, 0, 0, 0, 0"
Standard 1.8m Figure 8 Dedicated Red Plug Power Cord,In stock with Wootware,In stock with Wootware,R109.00,R79.00,https://www.wootware.co.za/standard-1-8m-figure-8-dedicated-red-plug-power-cord.html,Other,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/p/c/pc-6df87mbk1.8.jpg,"2015, 12, 25, 0, 0, 0, 0"
G.Skill F5-6000J3636F16GX2-TZ5RS Trident Z5 RGB 32GB (2 x 16GB) DDR5-6000MHz CL36 1.35V Silver Desktop Memory,In stock with Wootware,In stock with Wootware,"R3,879.00","R3,529.00",https://www.wootware.co.za/g-skill-f5-6000j3636f16gx2-tz5rs-trident-z5-rgb-32gb-2-x-16gb-ddr5-6000mhz-cl36-1-35v-silver-desktop-memory.html,Memory,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/t/r/trident_z5_rgb_silver_x2_02-wvmsxjgs_3.jpg,"2015, 12, 25, 0, 0, 0, 0"
